rank,title,studio,gross,year
11646,The Anarchist Cookbook,Inn.,"$14,369",2003
11647,Peep World,IFC,"$14,351",2011
11648,Desert Bayou,Libre,"$14,350",2007
11649,A Wedding Invitation,CJ,"$14,350",2013
11650,Savior,Lions,"$14,328",1998
11651,Amos Kolleck's Bad Girls,Castle,"$14,320",1994
11652,Daddy Cool,AdL.,"$14,319",2009
11653,The Devil's Miner,FRun,"$14,289",2006
11654,A Modern Affair,Tara,"$14,286",1996
11655,It Always Rains on Sunday (re-issue),Rialto,"$14,276",2008
11656,Full of It,NL,"$14,273",2007
11657,Never Stand Still: Dancing at Jacob's Pillow,FRun,"$14,272",2012
11658,Nobody (2009),N/A,"$14,271",2009
11659,Military Intelligence and You!,AnyR,"$14,251",2008
11660,Saheb Biwi Aur Gangster,UTV,"$14,231",2011
11661,Exhibition,KL,"$14,214",2014
11662,Crutch,Illm.,"$14,189",2004
11663,Splinter (2008),Magn.,"$14,154",2008
11664,Carmen & Geoffrey,FRun,"$14,130",2009
11665,We Won't Grow Old Together (2012 re-release),FDesk,"$14,104",2012
11666,Gayby,TFC,"$14,062",2012
11667,Ripple Effect,Mont.,"$14,059",2008
11668,6 Month Rule,SIP,"$14,057",2012
11669,Lights in the Dusk,Strand,"$14,056",2007
11670,Head Games,Vari.,"$14,056",2012
11671,GhettoPhysics: Will the Real Pimps and Hos Please Stand Up?,Gold.,"$14,034",2010
11672,Love and Money,Par.,"$14,009",1982
11673,Il Futuro,Strand,"$14,001",2013
11674,I'm Losing You,Strand,"$13,996",1999
11675,Marebito,Tar.,"$13,983",2005
11676,The Prey,Cohen,"$13,959",2013
11677,Planet of Snail,CGld,"$13,957",2012
11678,And Then Came Love,FoxM,"$13,944",2007
11679,Up for Grabs,L/Z,"$13,931",2005
11680,This is Martin Bonner,Mont.,"$13,888",2013
11681,Cut Sleeve Boys,Reg.,"$13,875",2007
11682,Falling Away,Indic.,"$13,869",2012
11683,The Protagonist,IFC,"$13,850",2007
11684,Live Free or Die,Think,"$13,836",2007
11685,Sympathy for Delicious,Maya,"$13,826",2011
11686,13 Sins,RTWC,"$13,809",2014
11687,Poultrygeist: Night of the Chicken Dead,Troma,"$13,804",2008
11688,The Times of Harvey Milk (re-issue),NYer,"$13,801",2000
11689,The Pretty One,Da.,"$13,769",2014
11690,The Day He Arrives,CGld,"$13,746",2012
11691,The Architect,Magn.,"$13,737",2006
11692,Dorfman in Love,BSM,"$13,737",2013
11693,Don McKay,Imag.,"$13,722",2010
11694,Full Grown Men,Emr.,"$13,716",2008
11695,Who the #$&% Is Jackson Pollock,PicH,"$13,710",2006
11696,Love for Sale: Suely in the Sky,Strand,"$13,703",2007
11697,Daisies (2012 re-release),Jan.,"$13,692",2012
11698,Laila's Birthday,Kino,"$13,689",2009
11699,The Law in These Parts,CGld,"$13,683",2012
11700,Tosca's Kiss (2014 re-release),Icar.,"$13,670",2014
11701,Poison Friends,Strand,"$13,665",2007
11702,Soft Fruit,FoxS,"$13,654",2000
11703,Convicts,MCE,"$13,623",1991
11704,Fifi Howls From Happiness,MBox,"$13,614",2014
11705,When the Iron Bird Flies,AM,"$13,598",2012
11706,Reuniting the Rubins,Mont.,"$13,569",2012
11707,Dysfunctional Friends,DTP,"$13,546",2012
11708,Paper Man,MPI,"$13,514",2010
11709,Duane Hopwood,IFC,"$13,510",2005
11710,Handsome Harry,Pala.,"$13,500",2010
11711,The Monk,ATO,"$13,472",2013
11712,Looking for an Echo,Reg.,"$13,465",2000
11713,The Escapist,IFC,"$13,439",2009
11714,Benda Bilili!,NGE,"$13,420",2011
11715,The Slaughter Rule,Cow.,"$13,411",2003
11716,War of the Worlds: Goliath,BCMG,"$13,385",2014
11717,Citadel,Cdgm.,"$13,377",2012
11718,Justice Is Mind,TAT,"$13,357",2013
11719,A Long Way Down,Magn.,"$13,347",2014
11720,One Last Thing...,Magn.,"$13,334",2006
11721,Hugo Pool,N.Arts,"$13,330",1997
11722,"Yes Nurse, No Nurse",Reg.,"$13,325",2004
11723,Violet Tendencies,Embr.,"$13,304",2010
11724,Sherman's Way,ICir,"$13,282",2009
11725,The Specials,Reg.,"$13,276",2000
11726,Kicking It,LibE,"$13,266",2008
11727,Harold,CityL,"$13,229",2008
11728,Red Obsession,A23,"$13,199",2013
11729,Blind Mountain,Kino,"$13,164",2008
11730,La Mentale: The Code,IDP,"$13,152",2004
11731,The Pleasures of Being Out of Step,FRun,"$13,137",2014
11732,Red Surf,AcdE,"$13,136",1990
11733,All Things Fair,PFM,"$13,128",1996
11734,The Trouble with Bliss,7A,"$13,093",2012
11735,Under the Boardwalk: The Monopoly Story,Tost.,"$13,080",2011
11736,The Winners,First,"$13,066",1999
11737,Nothing But a Man (2012 re-release),APD/C,"$13,063",2012
11738,My Mexican Shivah,Emr.,"$13,042",2008
11739,Dog Days,Leis.,"$13,031",2003
11740,Jim (2010),A23,"$13,015",2010
11741,"How Much Does Your Building Weigh, Mr. Foster?",FRun,"$13,013",2012
11742,Norwegian Wood,RF,"$13,000",2012
11743,Raja,FM,"$13,000",2004
11744,Leap Year (2011),Strand,"$12,979",2011
11745,Bloodworth,Gold.,"$12,971",2011
11746,Skid Marks,Divr.,"$12,959",2007
11747,Little Boy Blue,Castle,"$12,958",1998
11748,Puss in Boots (1988),Can.,"$12,951",1988
11749,The World According to Shorts,NYer,"$12,908",2006
11750,A Green Story,Indic.,"$12,901",2013
11751,Rock Bottom,Wrin.,"$12,890",2007
11752,J'entends plus la guitare,FDesk,"$12,876",2008
11753,I Trust You to Kill Me,FInd.,"$12,854",2006
11754,Sol LeWitt,Icar.,"$12,841",2014
11755,The Art of Being Straight,Reg.,"$12,831",2009
11756,Children Underground,Cmx.,"$12,798",2001
11757,Christmas at Maxwell's,Aloha,"$12,781",2006
11758,Lake City,Scre.,"$12,767",2008
11759,Diamond's Edge,Castle,"$12,751",1990
11760,Virginia,EOne,"$12,728",2012
11761,War of the Buttons,WB,"$12,712",1995
11762,Cobra Verde (re-issue),518,"$12,702",2007
11763,The Time Guardian,Hemd,"$12,682",1989
11764,Special ID,WGUSA,"$12,666",2014
11765,Backstage (2006),Strand,"$12,663",2006
11766,Autumn,Truly,"$12,655",2006
11767,August,First,"$12,636",2008
11768,Bhopal: A Prayer for Rain,Rvl,"$12,628",2014
11769,Lansdown,Outr.,"$12,614",2002
11770,Gory Gory Hallelujah,Indic.,"$12,604",2005
11771,Freestyle: The Art of Rhyme,Palm,"$12,600",2004
11772,Buddy Boy,FL,"$12,597",2000
11773,Boy Meets Girl,CFilms,"$12,589",2014
11774,Around June,Indic.,"$12,578",2012
11775,Dial M for Murder,WB,"$12,562",1954^
11776,Daltry Calhoun,Mira.,"$12,551",2005
11777,"The Photographer, His Wife, Her Lover",Icar.,"$12,546",2006
11778,Jake's Corner,Emr.,"$12,522",2008
11779,Hit Me,Castle,"$12,500",1998
11780,For Ellen,Trib.,"$12,396",2012
11781,America the Beautiful 2: The Thin Commandments,PMKBNC,"$12,366",2011
11782,Rebirth,Osci.,"$12,358",2011
11783,Grassroots,Gold.,"$12,356",2012
