rank,title,studio,gross,year
2537,The Cotton Club,Orion,"$25,928,721",1984
2538,Shutter,Fox,"$25,928,550",2008
2539,Leap Year,Uni.,"$25,918,920",2010
2540,All About the Benjamins,NL,"$25,916,319",2002
2541,The Hard Way,Uni.,"$25,895,485",1991
2542,Innerspace,WB,"$25,893,810",1987
2543,Alex Cross,LG/S,"$25,888,412",2012
2544,Frida,Mira.,"$25,885,000",2002
2545,Superhero Movie,MGM/W,"$25,881,068",2008
2546,Aeon Flux,Par.,"$25,874,337",2005
2547,That Thing You Do!,Fox,"$25,857,416",1996
2548,Shadowlands,Sav.,"$25,842,377",1993
2549,From Dusk Till Dawn,Mira.,"$25,836,616",1996
2550,Betrayed,UA,"$25,816,139",1988
2551,Murder at 1600,WB,"$25,804,707",1997
2552,Mr. Woodcock,NL,"$25,799,486",2007
2553,Candyman,TriS,"$25,792,310",1992
2554,Down Periscope,Fox,"$25,785,603",1996
2555,The Last Dragon,TriS,"$25,754,284",1985
2556,You Again,BV,"$25,702,053",2010
2557,The Outsiders,WB,"$25,697,647",1983
2558,21 and Over,Rela.,"$25,682,380",2013
2559,Other People's Money,WB,"$25,682,090",1991
2560,Dance Flick,Par.,"$25,662,155",2009
2561,Crocodile Dundee in Los Angeles,Par.,"$25,635,682",2001
2562,Agnes of God,Col.,"$25,627,836",1985
2563,Nancy Drew,WB,"$25,612,520",2007
2564,Can't Hardly Wait,Sony,"$25,605,015",1998
2565,The Mist,MGM/W,"$25,594,957",2007
2566,Billy Madison,Uni.,"$25,588,734",1995
2567,Jonah: A VeggieTales Movie,Art.,"$25,581,229",2002
2568,Her (2013),WB,"$25,568,251",2013
2569,Memento,NM,"$25,544,867",2001
2570,Captain Corelli's Mandolin,Uni.,"$25,543,895",2001
2571,Funny Farm,WB,"$25,537,221",1988
2572,The Muppets Take Manhattan,TriS,"$25,534,703",1984
2573,W.,LGF,"$25,534,493",2008
2574,Halloween II,Uni.,"$25,533,818",1981
2575,Only When I Laugh,Col.,"$25,524,778",1981
2576,Serenity,Uni.,"$25,514,517",2005
2577,A Nightmare on Elm Street,NL,"$25,504,513",1984
2578,The Fourth Kind,Uni.,"$25,486,040",2009
2579,Mimic,Mira.,"$25,480,490",1997
2580,"My Father, the Hero",BV,"$25,479,558",1994
2581,Escape From L.A.,Par.,"$25,477,365",1996
2582,Dark Water,BV,"$25,473,352",2005
2583,The International,Sony,"$25,450,527",2009
2584,Tin Men,BV,"$25,411,386",1987
2585,Desperado,Sony,"$25,405,445",1995
2586,Katy Perry: Part of Me,Par.,"$25,326,071",2012
2587,Heartburn,Par.,"$25,314,189",1986
2588,The Woman in Red,Orion,"$25,308,147",1984
2589,The Transporter,Fox,"$25,296,447",2002
2590,Sweet November,WB,"$25,288,103",2001
2591,Jersey Girl,Mira.,"$25,268,157",2004
2592,Escape from New York,Emb,"$25,244,626",1981
2593,Fallen,WB,"$25,232,289",1998
2594,Alien Nation,Fox,"$25,216,243",1988
2595,Black Widow,Fox,"$25,205,460",1987
2596,Aliens in the Attic,Fox,"$25,200,412",2009
2597,Twisted,Par.,"$25,198,598",2004
2598,Don't Tell Mom the Babysitter's Dead,WB,"$25,196,249",1991
2599,Nurse Betty,USA,"$25,170,054",2000
2600,The Morning After,Fox,"$25,147,055",1986
2601,Fly Away Home,Sony,"$25,143,818",1996
2602,Escape Plan,LG/S,"$25,135,965",2013
2603,The Reaping,WB,"$25,126,214",2007
2604,Killer Elite,ORF,"$25,124,966",2011
2605,Alpha and Omega,LGF,"$25,107,267",2010
2606,The Cutting Edge,MGM,"$25,105,517",1992
2607,Midnight in the Garden of Good & Evil,WB,"$25,105,255",1997
2608,Problem Child 2,Uni.,"$25,104,700",1991
2609,"The Good, the Bad and the Ugly",UA,"$25,100,000",1967
2610,In the Name of the Father,Uni.,"$25,096,862",1993
2611,Navy Seals,Orion,"$25,069,101",1990
2612,Moscow on the Hudson,Col.,"$25,068,724",1984
2613,The Wood,Par.,"$25,059,640",1999
2614,Wyatt Earp,WB,"$25,052,000",1994
2615,Grindhouse,W/Dim.,"$25,037,897",2007
2616,Ernest Goes to Jail,BV,"$25,029,569",1990
2617,Kingpin,MGM,"$25,023,434",1996
2618,The November Man,Rela.,"$25,018,119",2014
2619,Little Man Tate,Orion,"$25,010,896",1991
2620,Piranha 3D,W/Dim.,"$25,003,155",2010
2621,Invasion of the Body Snatchers,UA,"$24,946,533",1978
2622,Fright Night,Col.,"$24,922,237",1985
2623,Never Back Down,Sum.,"$24,850,922",2008
2624,Season of the Witch,Rela.,"$24,827,228",2011
2625,Quiz Show,BV,"$24,822,619",1994
2626,The Craft,Sony,"$24,819,936",1996
2627,Our Idiot Brother,Wein.,"$24,816,118",2011
2628,"From Russia, with Love",UA,"$24,796,765",1964
2629,Thank You for Smoking,FoxS,"$24,793,509",2006
2630,Waking Ned Devine,FoxS,"$24,792,251",1998
2631,The Man Without a Face,WB,"$24,760,338",1993
2632,Arlington Road,Sony,"$24,756,177",1999
2633,"sex, lies and videotape",Mira.,"$24,741,667",1989
2634,Gorillas in the Mist,Uni.,"$24,720,479",1988
2635,Lottery Ticket,WB,"$24,719,879",2010
2636,The Sweetest Thing,Sony,"$24,718,164",2002
2637,Ghost Dad,Uni.,"$24,707,633",1990
2638,Summer Rental,Par.,"$24,689,703",1985
2639,Operation Dumbo Drop,BV,"$24,670,346",1995
2640,The Other Side of Midnight,Fox,"$24,652,021",1977
2641,Ferngully: The Last Rainforest,Fox,"$24,650,296",1992
2642,Jet Li's Fearless,Rog.,"$24,633,730",2006
2643,Fargo,Gram.,"$24,611,975",1996
2644,Sicko,LGF,"$24,540,079",2007
2645,Unleashed,Rog.,"$24,537,621",2005
2646,Don Jon,Rela.,"$24,477,704",2013
2647,The Emerald Forest,Emb,"$24,468,550",1985
2648,Sling Blade,Mira.,"$24,444,121",1996
2649,Lucky Lady,Fox,"$24,441,725",1975
2650,Elektra,Fox,"$24,409,722",2005
2651,15 Minutes,NL,"$24,403,552",2001
2652,Ice Princess,BV,"$24,402,491",2005
2653,Sparkle (2012),TriS,"$24,397,469",2012
2654,Dolores Claiborne,Sony,"$24,361,867",1995
2655,Across the Universe,SonR,"$24,343,673",2007
2656,Renaissance Man,BV,"$24,332,324",1994
2657,The Spy Next Door,LGF,"$24,307,086",2010
2658,Class Action,Fox,"$24,277,858",1991
2659,Hoffa,Fox,"$24,276,506",1992
2660,Bronco Billy,WB,"$24,265,659",1980
2661,The People Under the Stairs,Uni.,"$24,204,154",1991
2662,Hearts in Atlantis,WB,"$24,185,781",2001
2663,Angel Eyes,WB,"$24,174,218",2001
2664,Iron Eagle,TriS,"$24,159,872",1986
2665,Lord of War,Lions,"$24,149,632",2005
2666,"Tinker, Tailor, Soldier, Spy",Focus,"$24,149,393",2011
2667,Clerks II,MGM/W,"$24,148,068",2006
2668,Dead Presidents,BV,"$24,147,179",1995
2669,An Inconvenient Truth,ParC,"$24,146,161",2006
2670,Striking Distance,Col.,"$24,107,867",1993
2671,The Adventures of Huck Finn,BV,"$24,103,594",1993
2672,Lionheart,Uni.,"$24,078,196",1991
2673,From Paris with Love,LGF,"$24,077,427",2010
2674,Spring Break,Col.,"$24,071,666",1983
2675,Body Heat,WB,"$24,058,838",1981
2676,Virtuosity,Par.,"$24,047,675",1995
2677,Don't Be Afraid of the Dark,FD,"$24,046,682",2011
2678,The Life Aquatic with Steve Zissou,BV,"$24,020,403",2004
2679,Boyhood,IFC,"$24,008,200",2014
2680,Around the World in 80 Days,BV,"$24,008,137",2004
2681,Observe and Report,WB,"$24,007,324",2009
2682,Perfect Stranger,SonR,"$23,984,949",2007
2683,Corky Romano,BV,"$23,980,304",2001
2684,Tom and Huck,BV,"$23,920,048",1995
2685,The Flamingo Kid,Fox,"$23,859,382",1984
2686,Weird Science,Uni.,"$23,834,048",1985
2687,Born to Be Wild (IMAX),WB,"$23,823,738",2011
2688,House of Wax,WB,"$23,750,000",1953
2689,Sea Monsters: A Prehistoric Adventure (IMAX),NGE,"$23,746,066",2007
2690,Santa Claus: The Movie,TriS,"$23,717,291",1985
2691,Good Burger,Par.,"$23,712,993",1997
2692,Network,MGM,"$23,689,877",1976
2693,Sixteen Candles,Uni.,"$23,686,027",1984
2694,Some Kind of Hero,Par.,"$23,671,186",1982
2695,The Road Warrior,WB,"$23,667,907",1982
2696,The Best Years of Our Lives,RKO,"$23,650,000",1946
2697,The Wicker Man,WB,"$23,649,127",2006
2698,Two of a Kind,Fox,"$23,646,952",1983
2699,Hot Fuzz,Rog.,"$23,637,265",2007
2700,Agent Cody Banks 2: Destination London,MGM,"$23,630,159",2004
2701,How to Make an American Quilt,Uni.,"$23,600,020",1995
2702,My Blue Heaven,WB,"$23,591,472",1990
2703,The Losers,WB,"$23,591,432",2010
2704,Eight Crazy Nights,Sony,"$23,586,598",2002
2705,Oscar,BV,"$23,562,716",1991
2706,Hotel Rwanda,UA,"$23,530,892",2004
2707,Traitor,Over.,"$23,530,831",2008
2708,Heist,WB,"$23,510,841",2001
2709,Ernest Goes to Camp,BV,"$23,509,382",1987
2710,Hoodlum,MGM,"$23,499,102",1997
2711,Boys on the Side,WB,"$23,440,188",1995
2712,Endless Love (2014),Uni.,"$23,438,250",2014
2713,Circle of Friends,Sav.,"$23,389,975",1995
2714,The Avengers (1998),WB,"$23,384,939",1998
2715,Raging Bull,MGM,"$23,383,987",1980^
2716,The Covenant,SGem,"$23,380,495",2006
2717,Ghost Story,Uni.,"$23,371,905",1981
2718,Leap of Faith,Par.,"$23,369,283",1992
2719,Reindeer Games,Mira.,"$23,368,995",2000
2720,Bulletproof Monk,MGM,"$23,358,708",2003
2721,The Usual Suspects,Gram.,"$23,341,568",1995
2722,Toys,Fox,"$23,278,931",1992
2723,Benny and Joon,MGM,"$23,261,580",1993
2724,Kingdom Come,FoxS,"$23,249,649",2001
2725,One True Thing,Uni.,"$23,245,840",1998
2726,Faster,CBS,"$23,240,020",2010
2727,The Remains of the Day,Col.,"$23,237,911",1993
2728,Pompeii,TriS,"$23,219,748",2014
2729,Vicky Cristina Barcelona,MGM/W,"$23,216,709",2008
2730,Sanctum,Uni.,"$23,209,310",2011
2731,Monte Carlo,Fox,"$23,186,769",2011
2732,The Iron Giant,WB,"$23,159,305",1999
2733,Match Point,DW,"$23,151,529",2005
2734,Air Bud,BV,"$23,144,499",1997
2735,Piglet's Big Movie,BV,"$23,103,423",2003
2736,Fighting,Uni.,"$23,091,010",2009
2737,Stay Alive,BV,"$23,086,480",2006
2738,Blue Chips,Par.,"$23,070,663",1994
2739,The Players Club,NL,"$23,047,939",1998
2740,The Program,BV,"$23,032,565",1993
2741,Transcendence,WB,"$23,022,309",2014
2742,Horrible Bosses 2,WB,"$23,010,000",2014
2743,The Russia House,MGM,"$22,997,992",1990
2744,Two for the Money,Uni.,"$22,991,379",2005
2745,Love Happens,Uni.,"$22,965,110",2009
2746,D3: The Mighty Ducks,BV,"$22,955,097",1996
2747,The Care Bears Movie,Gold.,"$22,934,622",1985
2748,Ella Enchanted,Mira.,"$22,918,387",2004
2749,Rounders,Mira.,"$22,912,409",1998
2750,Revolutionary Road,ParV,"$22,911,480",2008
2751,Crimes of the Heart,DEG,"$22,905,522",1986
2752,Guilty as Sin,BV,"$22,866,222",1993
2753,Being John Malkovich,USA,"$22,863,596",1999
2754,Beloved,BV,"$22,852,487",1998
2755,Raising Arizona,Fox,"$22,847,564",1987
2756,Prime,Uni.,"$22,827,153",2005
2757,Missing in Action,Can.,"$22,812,411",1984
2758,On Her Majesty's Secret Service,UA,"$22,774,493",1969
2759,Frankie and Johnny (1991),Par.,"$22,773,535",1991
2760,Joe Somebody,Fox,"$22,771,646",2001
2761,Convoy,MGM,"$22,765,081",1978
2762,Xanadu,Uni.,"$22,762,571",1980
2763,The Juror,Sony,"$22,754,725",1996
2764,Titan A.E.,Fox,"$22,753,426",2000
2765,Rudy,TriS,"$22,750,363",1993
2766,American Gigolo,Par.,"$22,743,674",1980
2767,Dickie Roberts: Former Child Star,Par.,"$22,738,671",2003
2768,Thunderheart,TriS,"$22,660,758",1992
2769,Pure Luck,Uni.,"$22,641,969",1991
2770,The Borrowers,Poly,"$22,619,589",1998
2771,My Tutor,Crwn,"$22,587,834",1983
2772,Much Ado About Nothing,Gold.,"$22,549,338",1993
2773,The Black Dahlia,Uni.,"$22,545,080",2006
2774,The Incredible Burt Wonderstone,WB,"$22,537,881",2013
2775,Babylon A.D.,Fox,"$22,532,572",2008
2776,My Super Ex-Girlfriend,Fox,"$22,530,295",2006
2777,Captain Ron,BV,"$22,518,097",1992
2778,Looking for Mr. Goodbar,Par.,"$22,512,655",1977
2779,Quest for Camelot,WB,"$22,510,798",1998
2780,Adaptation.,Sony,"$22,498,520",2002
2781,Lucky Number Slevin,MGM/W,"$22,495,466",2006
2782,The Warriors,Par.,"$22,490,039",1979
2783,WAR,LGF,"$22,486,409",2007
2784,My Bodyguard,Fox,"$22,482,952",1980
2785,Red Corner,MGM,"$22,459,274",1997
2786,Magnolia,NL,"$22,455,976",1999
2787,Fame (2009),MGM,"$22,455,510",2009
2788,City by the Sea,WB,"$22,448,879",2002
2789,License to Drive,Fox,"$22,433,275",1988
2790,EDtv,Uni.,"$22,431,897",1999
2791,The First Power,Orion,"$22,424,195",1990
2792,The Alamo (2004),BV,"$22,414,961",2004
2793,Deuce Bigalow: European Gigolo,Sony,"$22,400,154",2005
2794,At First Sight,MGM,"$22,365,133",1999
2795,The Wizard of Oz,MGM,"$22,342,633",1939^
2796,My Fellow Americans,WB,"$22,313,201",1996
2797,Benji the Hunted,BV,"$22,257,624",1987
2798,Pink Floyd: The Wall,MGM,"$22,244,207",1982
2799,Empire of the Sun,WB,"$22,238,696",1987
2800,Two Can Play That Game,SGem,"$22,235,901",2001
2801,Emma,Mira.,"$22,231,658",1996
2802,Norma Rae,Fox,"$22,228,000",1979
2803,The Medallion,TriS,"$22,219,192",2003
2804,Hustle and Flow,ParC,"$22,202,809",2005
2805,Nowhere to Run,Col.,"$22,189,039",1993
2806,A Nightmare on Elm Street 5: The Dream Child,NL,"$22,168,359",1989
2807,An American Tail: Fievel Goes West,Uni.,"$22,166,041",1991
2808,Darkness,Dim.,"$22,163,442",2004
2809,Don Juan de Marco,NL,"$22,150,451",1995
2810,Dad,Uni.,"$22,103,037",1989
2811,Lock Up,TriS,"$22,099,847",1989
2812,Biker Boyz,DW,"$22,076,772",2003
2813,Cousins,Par.,"$22,026,369",1989
2814,Mary Shelley's Frankenstein,Sony,"$22,006,296",1994
2815,Death Wish,Par.,"$22,000,000",1974
2816,Billy Elliot,Focus,"$21,995,263",2000
2817,Joy Ride,Fox,"$21,974,919",2001
2818,Friday the 13th - Part V,Par.,"$21,930,418",1985
2819,Love Don't Cost a Thing,WB,"$21,924,226",2003
2820,Gus,Dis.,"$21,873,000",1976
2821,Il Postino,Mira.,"$21,848,932",1995
2822,A Lot Like Love,BV,"$21,845,719",2005
2823,Only the Lonely,Fox,"$21,830,957",1991
2824,A Soldier's Story,Col.,"$21,821,347",1984
2825,The Big Wedding,LGF,"$21,819,348",2013
2826,Mr. 3000,BV,"$21,811,187",2004
2827,Boys and Girls,Dim.,"$21,799,652",2000
2828,The Bachelor,NL,"$21,760,240",1999
2829,Ricochet,WB,"$21,756,163",1991
2830,The Caine Mutiny,Col.,"$21,750,000",1954
2831,Friday the 13th Part 2,Par.,"$21,722,776",1981
2832,Marathon Man,Par.,"$21,709,020",1976
2833,The Player,NL,"$21,706,101",1992
2834,Thunderbolt and Lightfoot,UA,"$21,700,000",1974
2835,Against All Odds,Col.,"$21,689,062",1984
2836,The Quest,Uni.,"$21,686,547",1996
2837,Buck Rogers in the 25th Century,Uni.,"$21,671,241",1979
2838,Class,Orion,"$21,667,789",1983
2839,Like Water for Chocolate,Mira.,"$21,665,468",1993
2840,The Rookie (1990),WB,"$21,633,874",1990
2841,Shining Through,Fox,"$21,633,781",1992
2842,Short Circuit 2,TriS,"$21,630,088",1988
2843,Your Highness,Uni.,"$21,596,445",2011
2844,Consenting Adults,BV,"$21,591,728",1992
2845,Mud,RAtt.,"$21,590,086",2013
2846,NASCAR 3D: The IMAX Experience (IMAX),WB,"$21,583,831",2004
2847,Bulletproof,Uni.,"$21,576,954",1996
2848,Bowling for Columbine,UA,"$21,576,018",2002
2849,Baggage Claim,FoxS,"$21,569,509",2013
2850,He Got Game,BV,"$21,567,853",1998
2851,Just Wright,FoxS,"$21,540,363",2010
2852,"Oh, God! You Devil!",WB,"$21,538,850",1984
2853,"The Way, Way Back",FoxS,"$21,506,546",2013
2854,The Book Thief,Fox,"$21,488,481",2013
2855,Married to the Mob,Orion,"$21,486,757",1988
2856,Battlefield Earth,WB,"$21,471,685",2000
2857,The Last Mimzy,NL,"$21,471,047",2007
2858,Urban Legends: Final Cut,Sony,"$21,468,807",2000
2859,The Freshman,TriS,"$21,460,601",1990
2860,Tough Guys,BV,"$21,458,229",1986
2861,Psycho (1998),Uni.,"$21,456,130",1998
2862,The Darkest Hour,Sum.,"$21,443,494",2011
2863,A Very Brady Sequel,Par.,"$21,440,752",1996
2864,Mr. Magoo,BV,"$21,437,192",1997
2865,Rhinestone,Fox,"$21,435,321",1984
2866,The Adventures of Ford Fairlane,Fox,"$21,413,502",1990
2867,Quigley Down Under,MGM,"$21,413,105",1990
2868,When a Stranger Calls,Col.,"$21,411,158",1979^
2869,The Place Beyond the Pines,Focus,"$21,403,519",2013
2870,Skyline,Uni.,"$21,393,620",2010
2871,Mars Needs Moms,BV,"$21,392,758",2011
2872,Cold Creek Manor,BV,"$21,386,011",2003
2873,The Fog,AVCO,"$21,378,361",1980
2874,Raising Cain,Uni.,"$21,370,057",1992
2875,Intersection,Par.,"$21,355,893",1994
2876,Waist Deep,Rog.,"$21,344,312",2006
2877,The Bells of St. Mary's,RKO,"$21,333,333",1945
2878,As Above/So Below,Uni.,"$21,321,100",2014
2879,National Lampoon's Van Wilder,Art.,"$21,305,259",2002
2880,Dream House,Uni.,"$21,302,340",2011
2881,High School High,Sony,"$21,302,121",1996
2882,Conan the Barbarian (2011),LGF,"$21,295,021",2011
2883,The Black Cauldron,BV,"$21,288,692",1985
2884,To Die For,Sony,"$21,284,514",1995
2885,Coneheads,Par.,"$21,274,717",1993
2886,Amazing Grace,IDP,"$21,250,683",2007
2887,Chain Reaction,Fox,"$21,226,204",1996
2888,Torque,WB,"$21,215,059",2004
2889,Fame (1980),MGM,"$21,202,829",1980
2890,Straight Talk,BV,"$21,202,099",1992
2891,The Right Stuff,WB,"$21,192,102",1983
2892,ATL,WB,"$21,170,563",2006
2893,Cabin Fever,Lions,"$21,158,188",2003
2894,Cujo,WB,"$21,156,152",1983
2895,The Next Three Days,LGF,"$21,148,651",2010
2896,Stir of Echoes,Art.,"$21,142,914",1999
2897,Kuffs,Uni.,"$21,142,815",1992
2898,Things Are Tough All Over,Col.,"$21,134,374",1982
2899,Night Shift,WB,"$21,095,638",1982
2900,Demon Knight,Uni.,"$21,089,146",1995
2901,F/X 2,Orion,"$21,082,165",1991
2902,Antwone Fisher,FoxS,"$21,078,145",2002
2903,Multiplicity,Sony,"$21,075,014",1996
2904,Weekend Pass,Crwn,"$21,058,033",1984
2905,The Wiz,Uni.,"$21,049,053",1978
2906,Punchline,Col.,"$21,042,667",1988
2907,Madhouse,Orion,"$21,036,771",1990
2908,Creepshow,WB,"$21,028,755",1982
2909,Christine,Col.,"$21,017,849",1983
2910,The Air Up There,Mira.,"$21,011,318",1994
2911,Flight of the Phoenix,Fox,"$21,009,180",2004
2912,Iron Will,BV,"$21,006,361",1994
2913,Fantastic Mr. Fox,Fox,"$21,002,919",2009
2914,Flicka,Fox,"$21,000,147",2006
2915,Looney Tunes: Back in Action,WB,"$20,991,364",2003
2916,Reality Bites,Uni.,"$20,982,557",1994
2917,The X-Files: I Want to Believe,Fox,"$20,982,478",2008
2918,The Man with the Golden Gun,UA,"$20,972,000",1974
2919,A Room with a View,Cinc,"$20,966,644",1986
2920,Quest for Fire,Fox,"$20,959,585",1982
2921,The Apple Dumpling Gang Rides Again,Dis.,"$20,931,111",1979
2922,Shorts,WB,"$20,919,166",2009
2923,Super Mario Bros.,BV,"$20,915,465",1993
2924,Mr. Baseball,Uni.,"$20,883,046",1992
2925,Jason's Lyric,Gram.,"$20,851,521",1994
2926,Fear,Uni.,"$20,831,000",1996
2927,The Kids Are All Right,Focus,"$20,811,365",2010
2928,The Hills Have Eyes 2,FoxA,"$20,804,166",2007
2929,Say Anything,Fox,"$20,781,385",1989
2930,Whale Rider,NM,"$20,779,666",2003
2931,The Dead Zone,Par.,"$20,766,616",1983
2932,Jaws IV: The Revenge,Uni.,"$20,763,013",1987
2933,Julia (1977),Fox,"$20,714,400",1977
2934,Hamlet (1990),WB,"$20,710,451",1990
2935,George A. Romero's Land of the Dead,Uni.,"$20,700,082",2005
2936,Little Black Book,SonR,"$20,698,668",2004
2937,Mad Money,Over.,"$20,668,843",2008
2938,Speechless,MGM,"$20,667,959",1994
2939,The Man From Snowy River,Fox,"$20,659,423",1982
2940,The Great Waldo Pepper,Uni.,"$20,642,922",1975
2941,A Christmas Story,MGM,"$20,605,209",1983^
2942,F/X,Orion,"$20,603,715",1986
2943,The Invisible,BV,"$20,578,909",2007
2944,The Great Gatsby,Par.,"$20,563,273",1974
2945,Gamer,LGF,"$20,534,907",2009
2946,Porky's Revenge (Part III),Fox,"$20,518,905",1985
2947,The Final Conflict: Omen III,Fox,"$20,471,382",1981
2948,Top Secret!,Par.,"$20,458,340",1984
2949,The In-Laws,WB,"$20,453,431",2003
2950,La Cage aux Folles,MGM,"$20,424,259",1979
2951,Hello Again,BV,"$20,419,446",1987
2952,Duel in the Sun,Selz.,"$20,408,163",1946
2953,Brick Mansions,Rela.,"$20,396,829",2014
2954,F.I.S.T.,UA,"$20,388,920",1978
2955,Valentine,WB,"$20,384,136",2001
2956,Sgt. Pepper's Lonely Hearts Club Band,Uni.,"$20,378,470",1978
2957,The Three Musketeers (2011),Sum.,"$20,374,484",2011
2958,The Glimmer Man,WB,"$20,351,264",1996
2959,Showgirls,MGM,"$20,350,754",1995
2960,Sudden Death,Uni.,"$20,350,171",1995
2961,Code of Silence,Orion,"$20,345,361",1985
2962,A Prairie Home Companion,PicH,"$20,342,852",2006
2963,Reno 911!: Miami,Fox,"$20,342,161",2007
2964,City Hall,Sony,"$20,340,204",1996
2965,The Presidio,Par.,"$20,324,096",1988
2966,John Carpenter's Vampires,Sony,"$20,308,772",1998
2967,Hot Dog... The Movie,MGM,"$20,307,325",1984
2968,Jetsons: The Movie,Uni.,"$20,305,841",1990
2969,Down with Love,Fox,"$20,305,251",2003
2970,The People Vs. Larry Flynt,Sony,"$20,300,385",1996
2971,Gone Baby Gone,Mira.,"$20,300,218",2007
2972,The Cowboy Way,Uni.,"$20,280,016",1994
2973,Premium Rush,Sony,"$20,275,446",2012
2974,Pulse,W/Dim.,"$20,264,436",2006
2975,The Incredible Shrinking Woman,Uni.,"$20,259,961",1981
2976,Action Jackson,Lori,"$20,256,975",1988
2977,Our Family Wedding,FoxS,"$20,255,281",2010
2978,Mobsters,Uni.,"$20,246,790",1991
2979,Critical Condition,Par.,"$20,240,502",1987
2980,Stella,BV,"$20,240,128",1990
2981,Six Pack,Fox,"$20,225,989",1982
2982,Country Strong,SGem,"$20,218,921",2010
2983,Appaloosa,WB (NL),"$20,211,394",2008
2984,Another Stakeout,BV,"$20,208,496",1993
2985,"Corrina, Corrina",NL,"$20,164,171",1994
2986,Dracula (1979),Uni.,"$20,158,970",1979
2987,Homefront,ORF,"$20,158,898",2013
2988,The Neverending Story,WB,"$20,158,808",1984
2989,Big Miracle,Uni.,"$20,157,300",2012
2990,Juice,Par.,"$20,146,880",1992
2991,Love and Death,UA,"$20,123,742",1975
2992,My Favorite Year,MGM,"$20,123,620",1982
2993,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Mira.,"$20,109,115",1996
2994,Tess,Col.,"$20,093,330",1980
2995,Flipper,Uni.,"$20,080,020",1996
2996,Down to You,Mira.,"$20,069,008",2000
2997,Only You,TriS,"$20,059,210",1994
2998,Booty Call,Sony,"$20,050,376",1997
2999,An Innocent Man,BV,"$20,047,604",1989
3000,Monty Python's Life of Brian,WB,"$20,045,115",1979^
3001,Assault on Precinct 13,Rog.,"$20,040,895",2005
3002,The Fly II,Fox,"$20,021,322",1989
3003,With Honors,WB,"$20,016,254",1994
3004,Prelude to a Kiss,Fox,"$20,006,730",1992
3005,Taking Care of Business,BV,"$20,005,435",1990
3006,Eyes of Laura Mars,Col.,"$20,000,000",1978
3007,Escape to Witch Mountain,BV,"$20,000,000",1975
3008,The Life of David Gale,Uni.,"$19,955,598",2003
3009,Unfaithfully Yours (1984),Fox,"$19,928,200",1984
3010,Breathless,Orion,"$19,910,002",1983
3011,Mafia!,BV,"$19,889,299",1998
3012,Fire in the Sky,Par.,"$19,885,552",1993
3013,Volunteers,TriS,"$19,875,740",1985
3014,Hard Rain,Par.,"$19,870,567",1998
3015,The Apostle,Oct.,"$19,868,354",1997
3016,Altered States,WB,"$19,853,892",1980
3017,The Spirit,LGF,"$19,806,188",2008
3018,Cruising,MGM,"$19,798,718",1980^
3019,Yu-Gi-Oh! The Movie,WB,"$19,765,868",2004
3020,Summer Catch,WB,"$19,753,553",2001
3021,Vampire in Brooklyn,Par.,"$19,751,736",1995
3022,Gone Fishin',BV,"$19,745,922",1997
3023,Betsy's Wedding,BV,"$19,740,070",1990
3024,Young Sherlock Holmes,Par.,"$19,739,575",1985
3025,The Principal,TriS,"$19,734,940",1987
3026,The Pledge,WB,"$19,733,089",2001
3027,Color of Night,BV,"$19,726,050",1994
3028,Same Time Next Year,Uni.,"$19,703,082",1979
3029,Broken City,Fox,"$19,701,164",2013
3030,Man of the House,Sony,"$19,699,706",2005
3031,Nine,Wein.,"$19,676,965",2009
3032,Skin Deep,Fox,"$19,674,852",1989
3033,Reign Over Me,Sony,"$19,661,987",2007
3034,Tucker: The Man and His Dream,Par.,"$19,652,638",1988
3035,The Thing (1982),Uni.,"$19,629,760",1982
3036,8 Seconds,NL,"$19,623,396",1994
3037,The Seduction of Joe Tynan,Uni.,"$19,595,168",1979
3038,The Serpent and the Rainbow,Uni.,"$19,595,031",1988
3039,Astro Boy,Sum.,"$19,551,067",2009
3040,Igor,MGM,"$19,528,602",2008
3041,Police Academy 5: Assignment: Miami Beach,WB,"$19,510,371",1988
3042,Hero,Col.,"$19,507,345",1992
3043,The Professional,Sony,"$19,501,238",1994
3044,The Eagle,Focus,"$19,490,041",2011
3045,Timeline,Par.,"$19,481,943",2003
3046,Valiant,BV,"$19,478,106",2005
3047,It Takes Two,WB,"$19,474,589",1995
3048,Friday the 13th Part VI,Par.,"$19,472,057",1986
3049,Beautiful Creatures (2013),WB,"$19,452,138",2013
3050,House,NW,"$19,444,631",1986
3051,Doug's First Movie,BV,"$19,440,089",1999
3052,House Party 2,NL,"$19,438,638",1991
3053,Oceans,BV,"$19,422,319",2010
3054,Saving Silverman,Sony,"$19,402,030",2001
3055,The Producers,Uni.,"$19,398,532",2005
3056,Wonder Boys,Par.,"$19,393,557",2000
3057,Vacancy,SGem,"$19,363,565",2007
3058,Joe,Can.,"$19,319,254",1970
3059,Runner Runner,Fox,"$19,316,646",2013
3060,Little Giants,WB,"$19,306,362",1994
3061,Cursed,Dim.,"$19,297,522",2005
3062,Summer of Sam,BV,"$19,288,130",1999
3063,Deathtrap,WB,"$19,282,134",1982
3064,House Party 3,NL,"$19,281,235",1994
3065,Best Defense,Par.,"$19,265,302",1984
3066,Species II,MGM,"$19,221,939",1998
3067,My Best Friend's Girl,LGF,"$19,219,250",2008
